trial_id,replicate_id,com_scale,payload_x_factor,payload_y_factor,measurement_seed,torque_seed,force_seed,payload_mass,payload_pos_x,payload_pos_y,payload_pos_z,motor_delay,motor_tau,effectiveness_initial,effectiveness_slope,torque_sigma_x,torque_sigma_y,torque_sigma_z,torque_tau_x,torque_tau_y,torque_tau_z,force_sigma_x,force_sigma_y,force_sigma_z,force_tau_x,force_tau_y,force_tau_z
0,0,nan,-1.25,-1.25,7000,7001,7002,0.5,-0.3875,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
1,1,nan,-1.25,-1.25,7003,7004,7005,0.5,-0.3875,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
2,2,nan,-1.25,-1.25,7006,7007,7008,0.5,-0.3875,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
3,3,nan,-1.25,-1.25,7009,7010,7011,0.5,-0.3875,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
4,4,nan,-1.25,-1.25,7012,7013,7014,0.5,-0.3875,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
5,0,nan,-1.25,-0.625,7000,7001,7002,0.5,-0.3875,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
6,1,nan,-1.25,-0.625,7003,7004,7005,0.5,-0.3875,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
7,2,nan,-1.25,-0.625,7006,7007,7008,0.5,-0.3875,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
8,3,nan,-1.25,-0.625,7009,7010,7011,0.5,-0.3875,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
9,4,nan,-1.25,-0.625,7012,7013,7014,0.5,-0.3875,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
10,0,nan,-1.25,0.0,7000,7001,7002,0.5,-0.3875,0.0,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
11,1,nan,-1.25,0.0,7003,7004,7005,0.5,-0.3875,0.0,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
12,2,nan,-1.25,0.0,7006,7007,7008,0.5,-0.3875,0.0,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
13,3,nan,-1.25,0.0,7009,7010,7011,0.5,-0.3875,0.0,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
14,4,nan,-1.25,0.0,7012,7013,7014,0.5,-0.3875,0.0,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
15,0,nan,-1.25,0.625,7000,7001,7002,0.5,-0.3875,0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
16,1,nan,-1.25,0.625,7003,7004,7005,0.5,-0.3875,0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
17,2,nan,-1.25,0.625,7006,7007,7008,0.5,-0.3875,0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
18,3,nan,-1.25,0.625,7009,7010,7011,0.5,-0.3875,0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
19,4,nan,-1.25,0.625,7012,7013,7014,0.5,-0.3875,0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
20,0,nan,-1.25,1.25,7000,7001,7002,0.5,-0.3875,0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
21,1,nan,-1.25,1.25,7003,7004,7005,0.5,-0.3875,0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
22,2,nan,-1.25,1.25,7006,7007,7008,0.5,-0.3875,0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
23,3,nan,-1.25,1.25,7009,7010,7011,0.5,-0.3875,0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
24,4,nan,-1.25,1.25,7012,7013,7014,0.5,-0.3875,0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
25,0,nan,-0.625,-1.25,7000,7001,7002,0.5,-0.19375,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
26,1,nan,-0.625,-1.25,7003,7004,7005,0.5,-0.19375,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
27,2,nan,-0.625,-1.25,7006,7007,7008,0.5,-0.19375,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
28,3,nan,-0.625,-1.25,7009,7010,7011,0.5,-0.19375,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
29,4,nan,-0.625,-1.25,7012,7013,7014,0.5,-0.19375,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
30,0,nan,-0.625,-0.625,7000,7001,7002,0.5,-0.19375,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
31,1,nan,-0.625,-0.625,7003,7004,7005,0.5,-0.19375,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
32,2,nan,-0.625,-0.625,7006,7007,7008,0.5,-0.19375,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
33,3,nan,-0.625,-0.625,7009,7010,7011,0.5,-0.19375,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
34,4,nan,-0.625,-0.625,7012,7013,7014,0.5,-0.19375,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
35,0,nan,-0.625,0.0,7000,7001,7002,0.5,-0.19375,0.0,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
36,1,nan,-0.625,0.0,7003,7004,7005,0.5,-0.19375,0.0,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
37,2,nan,-0.625,0.0,7006,7007,7008,0.5,-0.19375,0.0,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
38,3,nan,-0.625,0.0,7009,7010,7011,0.5,-0.19375,0.0,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
39,4,nan,-0.625,0.0,7012,7013,7014,0.5,-0.19375,0.0,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
40,0,nan,-0.625,0.625,7000,7001,7002,0.5,-0.19375,0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
41,1,nan,-0.625,0.625,7003,7004,7005,0.5,-0.19375,0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
42,2,nan,-0.625,0.625,7006,7007,7008,0.5,-0.19375,0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
43,3,nan,-0.625,0.625,7009,7010,7011,0.5,-0.19375,0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
44,4,nan,-0.625,0.625,7012,7013,7014,0.5,-0.19375,0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
45,0,nan,-0.625,1.25,7000,7001,7002,0.5,-0.19375,0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
46,1,nan,-0.625,1.25,7003,7004,7005,0.5,-0.19375,0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
47,2,nan,-0.625,1.25,7006,7007,7008,0.5,-0.19375,0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
48,3,nan,-0.625,1.25,7009,7010,7011,0.5,-0.19375,0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
49,4,nan,-0.625,1.25,7012,7013,7014,0.5,-0.19375,0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
50,0,nan,0.0,-1.25,7000,7001,7002,0.5,0.0,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
51,1,nan,0.0,-1.25,7003,7004,7005,0.5,0.0,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
52,2,nan,0.0,-1.25,7006,7007,7008,0.5,0.0,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
53,3,nan,0.0,-1.25,7009,7010,7011,0.5,0.0,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
54,4,nan,0.0,-1.25,7012,7013,7014,0.5,0.0,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
55,0,nan,0.0,-0.625,7000,7001,7002,0.5,0.0,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
56,1,nan,0.0,-0.625,7003,7004,7005,0.5,0.0,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
57,2,nan,0.0,-0.625,7006,7007,7008,0.5,0.0,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
58,3,nan,0.0,-0.625,7009,7010,7011,0.5,0.0,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
59,4,nan,0.0,-0.625,7012,7013,7014,0.5,0.0,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
60,0,nan,0.0,0.0,7000,7001,7002,0.5,0.0,0.0,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
61,1,nan,0.0,0.0,7003,7004,7005,0.5,0.0,0.0,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
62,2,nan,0.0,0.0,7006,7007,7008,0.5,0.0,0.0,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
63,3,nan,0.0,0.0,7009,7010,7011,0.5,0.0,0.0,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
