trial_id,replicate_id,com_scale,payload_mass,payload_pos_x,payload_pos_y,payload_pos_z,true_com_x,true_com_y,true_com_z,measurement_seed,torque_seed,force_seed,position_rms,position_rms_x,position_rms_y,position_rms_z,velocity_rms,attitude_rms,attitude_rms_x,attitude_rms_y,attitude_rms_z,peak_attitude,angular_acc_command_rms,mean_dob_norm,final_com_error,final_com_error_x,final_com_error_y,final_com_error_z,moce_convergence_time,max_motor_utilization,max_servo_angle,saturation_time,terminal_altitude_m,terminal_tilt_rad,terminal_airborne,numerical_success,flight_success,success,failure_reason,runtime_s
0,0,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7000,7001,7002,0.08554896835657126,0.04814002344004288,0.06773206845728029,0.020335462437919862,0.1682407370480507,0.005098049716462139,0.0028932498002971854,0.0037204369879707128,0.0019435959258908197,0.013348466689249617,2.965502331243643,0.7135102148990577,0.002826824990425496,3.7290932111209985e-05,0.00021416388516128787,0.002818453963287143,nan,0.4192335133877447,0.4173564967339785,0,0.7947993810264139,0.0021834351989428475,True,True,True,True,normal_completion,6.285234940999999
1,1,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7003,7004,7005,0.07709823398857933,0.04913216394330271,0.05548480906991243,0.02125097910406756,0.15375346939975829,0.003572046426978485,0.0019971765407028707,0.002703291997560462,0.0012095511223927232,0.008455452193857415,2.8342988244327314,0.5381040067930083,0.003108153394682012,2.1095960566888672e-05,8.280472387578452e-05,0.0031069785746002387,nan,0.4161052971296999,0.34177905407419656,0,0.788117245409447,0.000469569641758442,True,True,True,True,normal_completion,6.223674636000169
2,2,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7006,7007,7008,0.07379533899956116,0.04945068954060736,0.050544374304861084,0.02111036684069502,0.14790891015708454,0.003865323087895818,0.0018232335586765742,0.0032076143977882703,0.0011522811460044512,0.009361220571278299,2.8497835512068868,0.5595297060553849,0.00292370131723997,1.3785229556952106e-05,0.00029482706829070393,0.0029087654356582116,nan,0.4247182035099519,0.41003007377853956,0,0.7874087520650876,0.002039465156339293,True,True,True,True,normal_completion,6.271057359999986
3,3,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7009,7010,7011,0.07355632802766691,0.04549817941076386,0.05381359738524579,0.021084254781195102,0.14531882581247302,0.0026946307210216945,0.0013543354568572863,0.00205527037385252,0.0010966648910844133,0.007046259741807761,2.8153333396101616,0.3899087425774226,0.004456052234437537,-6.283285830352425e-05,0.0002558654397695273,0.004448256560123834,nan,0.4140390374989022,0.37812314505427863,0,0.7815174699807678,0.0027754942795001304,True,True,True,True,normal_completion,6.222197424999877
4,4,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7012,7013,7014,0.07584933312410888,0.05067328832020691,0.05274798426771076,0.020074594438806506,0.1544242087138191,0.004271485398107987,0.002050508524572835,0.0034278340345429326,0.0015135904758331912,0.008990970339513932,2.8769430351502137,0.676338120240361,0.0030140847492760225,5.401397629576504e-05,2.5970683522960614e-05,0.003013488823569846,nan,0.4174961716388382,0.4194817479873673,0,0.8014391355556607,0.0018769998819276102,True,True,True,True,normal_completion,6.216615562000015
5,0,1.22,0.5,0.3782,0.3782,0.6832,0.04023404255319149,0.04023404255319149,0.0726808510638298,7000,7001,7002,0.0855209714763897,0.04811509879995957,0.0677144408139375,0.020335396111001748,0.1682166623695593,0.005194961710136352,0.0029395720563561447,0.0037492012148926694,0.0020712396156698757,0.013631529998781656,2.9706278339940333,0.7185633886784492,0.002880648743311544,3.7971826630962824e-05,0.0002120756809775859,0.0028725805869048437,nan,0.4216273286218636,0.42302784329135046,0,0.794801249010942,0.002239993069533841,True,True,True,True,normal_completion,6.180969168999809
6,1,1.22,0.5,0.3782,0.3782,0.6832,0.04023404255319149,0.04023404255319149,0.0726808510638298,7003,7004,7005,0.07708144195237487,0.04911328221764343,0.05547825154465703,0.021250830779412016,0.1537268870984988,0.0036013573593452895,0.0020046485914644225,0.002710807135548793,0.0012659713773652223,0.008447127373039121,2.834968242741962,0.5387108736589299,0.003161708133348952,2.2466974170021192e-05,8.2130669597065e-05,0.0031605613597378707,nan,0.41867868958570137,0.3469243160082739,0,0.7881178810916457,0.0004869690288266628,True,True,True,True,normal_completion,6.232153934000053
7,2,1.22,0.5,0.3782,0.3782,0.6832,0.04023404255319149,0.04023404255319149,0.0726808510638298,7006,7007,7008,0.07377256023154874,0.04942246358808313,0.05053888810513971,0.021109986383184894,0.14787103248415917,0.003911237481625437,0.0018441822128794497,0.003228206698063505,0.001214681899901631,0.00941580687238612,2.8519049639234946,0.5624437418840673,0.0029683159556913793,1.2838566118063277e-05,0.0002954187361627614,0.0029535508382887293,nan,0.4272002863181396,0.4171937515656142,0,0.787408148630754,0.0020992149675270145,True,True,True,True,normal_completion,6.328378603999909
8,3,1.22,0.5,0.3782,0.3782,0.6832,0.04023404255319149,0.04023404255319149,0.0726808510638298,7009,7010,7011,0.07353705297698163,0.045476781020771,0.053805402407915724,0.021084098753574986,0.14529148771126135,0.0027141029754323416,0.0013585025356830812,0.002059589318892994,0.0011308924172065203,0.0070990135561864905,2.815650242848041,0.3894540464780174,0.004522425096525664,-6.362073518176303e-05,0.00025557721788702775,0.004514749322103856,nan,0.4166115789444448,0.38369438783414844,0,0.781516117001708,0.002806233325250457,True,True,True,True,normal_completion,6.230220475999886
9,4,1.22,0.5,0.3782,0.3782,0.6832,0.04023404255319149,0.04023404255319149,0.0726808510638298,7012,7013,7014,0.07581078194327234,0.05064139277225153,0.05272339312936366,0.02007405823104804,0.15436618843065758,0.004324754438909155,0.0020657635645704854,0.0034477549865071064,0.0015965924355241358,0.00907969080630606,2.878820860727813,0.6790004137996956,0.003073049151028933,5.591199527436863e-05,2.5167617177780655e-05,0.0030724373914645803,nan,0.4198516313314106,0.42568821594669887,0,0.8014382660554423,0.0018337576648280584,True,True,True,True,normal_completion,6.169910327999787
